init_node	term_node	capacity	length	free_flow_time	b	power	speed	toll	link_type	is_zone	through_flow_allowed
1	183	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
1	294	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
1	296	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
1	297	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
2	187	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
2	242	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
2	243	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
2	245	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
3	200	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
3	235	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
3	318	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
3	320	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
4	67	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
4	153	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
4	156	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
4	304	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
5	169	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
5	170	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
5	181	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
5	184	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
6	173	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
6	177	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
6	331	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
6	333	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
7	278	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
7	280	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
7	281	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
7	340	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
8	145	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
8	325	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
8	327	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
8	328	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
9	237	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
9	288	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
9	289	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
9	290	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
10	295	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
10	298	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	true	true
10	299	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
10	301	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
11	236	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
11	295	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
11	300	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
11	310	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
12	71	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
12	93	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
12	96	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
12	135	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
13	73	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
13	75	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
13	77	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
13	78	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
14	122	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
14	123	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
14	186	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
14	187	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
15	122	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
15	123	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
15	124	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
15	125	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
16	100	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
16	102	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
16	104	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
16	106	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
17	219	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
17	220	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
17	224	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
17	225	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
18	49	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
18	50	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
18	57	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
18	230	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
19	143	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
19	144	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
19	146	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
19	350	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
20	52	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
20	53	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
20	144	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
20	152	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
21	131	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
21	136	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
21	238	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
21	284	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
22	130	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
22	132	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
22	134	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
22	139	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
23	131	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
23	136	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
23	137	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
23	284	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
24	97	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
24	99	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
24	131	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
24	133	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
25	135	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
25	139	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
25	140	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
25	166	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
26	249	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
26	251	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
26	254	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
26	283	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
27	68	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
27	85	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
27	251	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
27	255	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
28	68	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
28	69	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
28	70	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
28	107	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
29	252	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
29	264	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
29	265	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
29	266	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
30	257	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
30	258	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
30	260	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
30	341	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
31	110	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
31	111	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
31	119	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
31	141	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
32	100	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
32	157	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
32	158	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
32	159	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
33	39	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
33	174	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
33	178	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
33	273	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
34	139	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
34	140	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
34	160	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
34	166	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
35	268	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
35	282	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
35	335	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
35	336	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
36	257	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
36	258	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
36	260	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
36	341	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
37	161	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
37	162	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
37	291	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
37	292	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
38	314	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
39	33	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
39	40	900.0	32.0	0.666667	1.0	4.0	0.0	0.0	1	false	false
39	48	2800.0	52.0	1.333333	1.0	4.0	0.0	0.0	1	false	false
40	42	2800.0	19.0	0.666667	1.0	4.0	0.0	0.0	1	false	false
40	155	900.0	318.0	8.333333	1.0	4.0	0.0	0.0	1	false	false
41	39	2800.0	20.0	1.0	1.0	4.0	0.0	0.0	1	false	false
41	178	900.0	102.0	2.666667	1.0	4.0	0.0	0.0	1	false	false
42	41	900.0	32.0	1.0	1.0	4.0	0.0	0.0	1	false	false
42	100	2800.0	198.0	5.0	1.0	4.0	0.0	0.0	1	false	false
43	228	2800.0	222.0	13.333333	1.0	4.0	0.0	0.0	1	false	false
44	45	2400.0	28.0	0.666667	1.0	4.0	0.0	0.0	1	false	false
45	46	2800.0	44.0	1.333333	1.0	4.0	0.0	0.0	1	false	false
45	208	2400.0	202.0	11.333333	1.0	4.0	0.0	0.0	1	false	false
46	51	2400.0	29.0	0.666667	1.0	4.0	0.0	0.0	1	false	false
46	57	2800.0	131.0	3.666667	1.0	4.0	0.0	0.0	1	false	false
47	82	2800.0	106.0	6.0	1.0	4.0	0.0	0.0	1	false	false
48	49	2800.0	227.0	9.0	1.0	4.0	0.0	0.0	1	false	false
49	18	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
49	50	900.0	30.0	0.666667	1.0	4.0	0.0	0.0	1	false	false
49	51	2800.0	294.0	17.333333	1.0	4.0	0.0	0.0	1	false	false
50	18	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
50	40	2800.0	280.0	10.0	1.0	4.0	0.0	0.0	1	false	false
50	49	900.0	30.0	0.666667	1.0	4.0	0.0	0.0	1	false	false
51	44	2800.0	44.0	1.666667	1.0	4.0	0.0	0.0	1	false	false
51	274	2400.0	118.0	4.0	1.0	4.0	0.0	0.0	1	false	false
52	20	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
52	53	2800.0	108.0	9.666667	1.0	4.0	0.0	0.0	1	false	false
53	20	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
53	54	600.0	34.0	1.0	1.0	4.0	0.0	0.0	1	false	false
53	90	2800.0	235.0	17.333333	1.0	4.0	0.0	0.0	1	false	false
54	53	600.0	34.0	1.0	1.0	4.0	0.0	0.0	1	false	false
54	55	2800.0	235.0	6.666667	1.0	4.0	0.0	0.0	1	false	false
55	59	2800.0	104.0	10.666667	1.0	4.0	0.0	0.0	1	false	false
56	45	2800.0	177.0	16.666667	1.0	4.0	0.0	0.0	1	false	false
57	18	999999.0	0.0	0.0	0.0	4.0	0.0	0.0	0	false	false
57	50	2800.0	164.0	6.0	1.0	4.0	0.0	0.0	1	false	false
58	52	2800.0	227.0	9.666667	1.0	4.0	0.0	0.0	1	false	false
58	59	2400.0	34.0	1.666667	1.0	4.0	0.0	0.0	1	false	false
